id	doi	title	author	journaltitle	volume	issue	pubdate	pagerange	publisher	type	reviewed-work	abstract
10.2307/41053072	10.2307/41053072	The World-Systems Perspective and Archaeology: Forward into the Past	Thomas D. Hall, Christopher Chase-Dunn	Journal of Archaeological Research	1	2	1993-06-01T00:00:00Z	pp. 121-143	Springer	fla		This article reviews previous attempts to extend world-system theory from the modern era to prehistoric and archaeological settings. It summarizes major debates among scholars from several disciplines who are comparing the modern world-system with earlier world-systems. Special attention centers on the problems of conceptualizing world-systems, the spatial bounding of world-systems, and understandings of systemic logics.	
10.2307/41053258	10.2307/41053258	The Analysis of Stone Tool Procurement, Production, and Maintenance	William Andrefsky Jr.	Journal of Archaeological Research	17	1	2009-03-01T00:00:00Z	pp. 65-103	Springer	fla		Researchers who analyze stone tools and their production debris have made significant progress in understanding the relationship between stone tools and human organizational strategies. Stone tools are understood to be morphologically dynamic throughout their use-lives; the ever-changing morphology of stone tools is intimately associated with the needs of tool users. It also has become apparent to researchers that interpretations of lithic analysis are more productive when the unique contexts and situations for which lithic artifacts were made, used, modified, and ultimately discarded are considered. This article reviews the recent literature on stone tool production with an emphasis on raw material procurement, manufacturing techniques, and tool maintenance processes as they relate to adaptive strategies of toolmakers and users.	
10.2307/41410935	10.2307/41410935	A Tale of Two Migrations: Reconciling Recent Biological and Archaeological Evidence for the Pleistocene Peopling of the Americas	Bonnie L. Pitblado	Journal of Archaeological Research	19	4	2011-12-01T00:00:00Z	pp. 327-375	Springer	fla		This article synthesizes the 2000s-era "peopling of the Americas" data drawn from molecular biology, osteology, and archaeology. Collectively, they suggest that colonization proceeded in two pulses, both originating in western Beringia, and before that, south-central and southeastern Siberia. The first pulse occurred circa 16 k-15 k cal. B. P. by watercraft along the coast of Beringia and western North and South America. The second took place 1,000 years later and involved proto-Clovis hunter-gatherers who used the ice-free corridor as a conduit south. At least eight North American sites dating as far back as the Last Glacial Maximum suggest that the peopling picture may eventually need to change to accommodate an earlier than previously thought migration through the ice-free corridor. For now, the data are not strong enough to support this scenario, but they are tantalizingly close.	
10.2307/41053075	10.2307/41053075	Long-Term Developments in Complex Hunter-Gatherer Societies: Recent Perspectives from the Pacific Coast of North America	Kent G. Lightfoot	Journal of Archaeological Research	1	3	1993-09-01T00:00:00Z	pp. 167-201	Springer	fla		The Pacific coast of North America is ideally suited to the study of long-term developments in complex hunter-gatherer societies. This paper synthesizes current research in California and the Northwest Coast on three related research problems. The first concerns the timing, spatial distribution, and economies of the earliest coastal peoples in the region. The second problem involves the growth and florescence of complex Pacific hunter-gatherer societies. What constitutes archaeological evidence of hunter-gatherer complexity, when and where it occurs, and the interpretations proposed to account for it are reviewed. The final problem addresses how complex hunter-gatherer peoples responded to European exploration and colonization, and how these early encounters affected the Pacific coast societies recorded in early ethnohistoric accounts and later studied by ethnographers.	
10.2307/41053232	10.2307/41053232	Front Matter		Journal of Archaeological Research	15	1	2007-03-01T00:00:00Z		Springer	mis			
10.2307/41053210	10.2307/41053210	Complex Hunter-Gatherers in Evolution and History: A North American Perspective	Kenneth E. Sassaman	Journal of Archaeological Research	12	3	2004-09-01T00:00:00Z	pp. 227-280	Springer	fla		A review of recent research on complex hunter-gatherers in North America suggests that age-old tensions between evolutionary and historical epistemologies continue to cultivate progress in anthropological understanding of sociocultural variation. Coupled with criticism of the evolutionary status of ethnographic foragers, archaeological documentation of variation among hunter-gatherer societies of the ancient past makes it difficult to generalize about causal relationships among environment, subsistence economy, and sociopolitical organization. Explanations for emergent complexity on the Pacific Coast that privilege environmental triggers for economic change have been challenged by new paleoenvironmental findings, while hypotheses suggesting that economic changes were preceded by, indeed caused by, transformations of existing structures of social inequality have gained empirical support. In its emergent data on mound construction apart from significant subsistence change, the southeastern United States gives pause to materialist explanations for complexity, turning the focus on symbolic and structural dimensions of practice that cannot be understood apart from particular histories of group interaction and tradition. Taken together, recent research on complex hunter-gatherers in North America has not only expanded the empirical record of sociocultural formations once deemed anomalous and/or derivative of European contact but also has contributed to the ongoing process of clarifying concepts of cultural complexity and how this process ultimately restructures anthropological theory.	
10.2307/41053269	10.2307/41053269	Early African America: Archaeological Studies of Significance and Diversity	Christopher C. Fennell	Journal of Archaeological Research	19	1	2011-03-01T00:00:00Z	pp. 1-49	Springer	fla		This article examines archaeological studies of the cultural heritage and social dynamics of African descendant populations in the United States and Canada from AD 1400 through 1865. European colonial enterprises expanded in Africa and the Americas during that time span, effecting an accompanying movement of free and captive Africans into North America. Archaeological investigations of early African America are remarkable for the diversity of analytic scales and research questions pursued. This diversity of research efforts has yielded a highly productive, interdisciplinary expansion of knowledge concerning African diaspora histories.	
10.2307/41053199	10.2307/41053199	The Production and Exchange of Marine Shell Prestige Goods	Mary Beth D. Trubitt	Journal of Archaeological Research	11	3	2003-09-01T00:00:00Z	pp. 243-277	Springer	fla		Marine shell ornaments have several characteristics that make them significant for archaeological analysis. Made from a raw material valued by cultures throughout the world and imbued with water, life, health, and fertility symbolism, shell objects have functioned as prestige goods. Shell prestige goods circulated between individuals, groups, and societies and materialized interpersonal relationships, making them valuable for archaeologists shifting focus from objects to the people in past societies. Shell ornaments had multiple roles, including ornamentation, wealth, marking status, and as ritual paraphernalia, and had varying symbolic associations even within a society. The rich ethnographic literature on shell use provides a source for archaeological model building. Manne shell artifacts often moved between societies and across long distances, offeríng a way for archaeologists to explore regional relationships and the interactions between ancient societies. To do this requires using several scales of analysis to investigate archaeological residues of a system that includes marine shell ornaments, the social organization of their production and exchange, and the people who made, displayed, and circulated them.	
10.2307/42635578	10.2307/42635578	The Archaeology of Food and Social Inequality in the Andes	Andrea M. Cuéllar	Journal of Archaeological Research	21	2	2013-06-01T00:00:00Z	pp. 123-174		fla		A comparative examination of food practices is useful for assessing the nature of diverse forms of social inequality. This article examines three key contexts in which to evaluate the relationship between social differentiation and food practices in the Andes: early complex societies, pre-Columbian states and nonstate complex societies, and colonial societies. A review of these distinct contexts suggests that social and subsistence change may follow different rhythms and that foodrelated differentiation, just like other forms of social differentiation, is neither consistently augmented in a scalar fashion in relation to "degrees" of social complexity, nor is it in all cases a direct indicator of economic inequality.	
10.2307/41053245	10.2307/41053245	Studies of Gender in the Prehispanic Americas	Traci Ardren	Journal of Archaeological Research	16	1	2008-03-01T00:00:00Z	pp. 1-35	Springer	fla		In the past ten years archaeologists have produced a vast literature on the study of gender in the prehispanic New World. This review defines key concepts, identifies three major themes within this tradition—gender in native cosmologies, intersections of gender and the body, and studies of work and specialization—and explores the significant contributions of engendered archaeology to the broader field. Final suggestions for linkages with queer studies and indigenous feminism point the way to where this field might develop productive new avenues of research.	
10.2307/41053209	10.2307/41053209	Front Matter		Journal of Archaeological Research	12	3	2004-09-01T00:00:00Z		Springer	mis			
10.2307/41053220	10.2307/41053220	Front Matter		Journal of Archaeological Research	13	3	2005-09-01T00:00:00Z		Springer	mis			
10.2307/42635586	10.2307/42635586	Patterns of War in the Andes from the Archaic to the Late Horizon: Insights from Settlement Patterns and Cranial Trauma	Elizabeth Arkush, Tiffiny A. Tung	Journal of Archaeological Research	21	4	2013-12-01T00:00:00Z	pp. 307-369		fla		Over the pre-Columbian sequence, Andean warfare ranged greatly in intensity. This review combines published information on cranial trauma and settlement patterns, which often align and clarify each other, to make an initial assessment of how severely Andean populations were affected by war over time and space. The data speak to a number of major topics in the archaeology of warfare, such as the origin of war, contrasts in state militarism, and changes in the practice of war related to social organization. Although there is considerable regional variation, two large-scale "waves" of escalated conflict that are clearly supported by the cranial trauma and settlement pattern data occurred in the Final Formative (late Early Horizon, 400 BC-AD 100) and the Late Intermediate period (AD 1000-1400).	
10.2307/41053080	10.2307/41053080	Philosophy of Archaeology: Current Issues	Merrilee H. Salmon	Journal of Archaeological Research	1	4	1993-12-01T00:00:00Z	pp. 323-343	Springer	fla		Recent literature reflects continuing concern with problems such as explanation, skepticism, and objective knowledge. Some authors urge archaeologists to abandon "positivism" in favor of new "philosophical" approaches, such as feminism, Marxism, hermeneutics, and critical theory. Ethical issues have received increased attention as archaeologists have become involved in determining public policy with regard to disposition of artifacts and uncovering of human burials.	
10.2307/41053142	10.2307/41053142	Gifts Given, Gifts Taken: The Behavioral Ecology of Nonmarket, Intragroup Exchange	Bruce Winterhalder	Journal of Archaeological Research	5	2	1997-06-01T00:00:00Z	pp. 121-168	Springer	fla		Behavioral ecologists combine evolutionary models of mechanism and ecological models of circumstance to analyze the origins and forms of intragroup exchange among social foragers, a category that includes primates, hominids, and recent and modern hunter-gatherers. Evolutionary mechanisms encompass individual sexual, reciprocal, kin, group, and cultural selection; models of circumstance include tolerated theft, scrounging, marginal value, trade, show-offs, and risk reduction. After a critical review, I develop a partial synthesis of these models. The results show that exchange behaviors have multicausal origins and they likely will be diverse due to differing combinations of mechanism and circumstance. They abo help explain seemingly unique features of foraging economies, including constrained production and routine demand sharing.	
10.2307/41053104	10.2307/41053104	Is There a Future for the Past? An Overview of Archaeology in Western Russia and Ukraine	David W. Anthony	Journal of Archaeological Research	3	3	1995-09-01T00:00:00Z	pp. 177-204	Springer	fla		The current political and economic situation in Russia and Ukraine poses grave dangers for the archaeological and museum professionals who guard these nations' legacies. At the moment that political barriers to Western collaboration were removed, new problems have crippled the post-Soviet archaeological community. Concurrently, Westerners tend to misunderstand Soviet and post-Soviet archaeological theory, forgetting that techniques such as lithic microwear and taphonomic analysis were introduced by Soviet scholars. New discoveries are described in three general categories: the origins of food-producing economies in western Russia and Ukraine, the evolution of surprisingly large towns in Copper Age Ukraine, and the origins of pastoralism in the Russian and Ukrainian steppes.	
10.2307/41053141	10.2307/41053141	Front Matter		Journal of Archaeological Research	5	2	1997-06-01T00:00:00Z		Springer	mis			
10.2307/41053074	10.2307/41053074	Front Matter		Journal of Archaeological Research	1	3	1993-09-01T00:00:00Z		Springer	mis			
10.2307/41053274	10.2307/41053274	Regional Settlement Pattern Studies	Stephen A. Kowalewski	Journal of Archaeological Research	16	3	2008-09-01T00:00:00Z	pp. 225-285	Springer	fla		This is a critical review of regional settlement pattern archaeology published in the last decade. The regional approach proves to be highly productive of new ideas and lasting results. Cultural resource/heritage databases are increasingly important. Notable advances have been made in regional studies of Paleolithic and Holocene foragers, the reciprocal relations between Neolithic communities and their regional societies, and in understanding states and empires. There are new research potentials in comparisons, macroregional analysis, long-term change, and alternative pathways. Research designs should specify systematic coverage at the regional scale and carry out spatial analysis in which social groups are the primary focus.	
10.2307/41053222	10.2307/41053222	Reassessing the Emergence of Village Life in the Near East	Brian F. Byrd	Journal of Archaeological Research	13	3	2005-09-01T00:00:00Z	pp. 231-290	Springer	fla		This article reassesses the timing, context, and impetus for the onset of sedentary, complex hunter-gatherers, food production, and village life in the Near East during the Late Pleistocene and Early Holocene. Drawing on recent paleoclimatic and archaeological results, I argue that sedentism and then village life were rapid rather than gradual events that occurred during optimal climatic conditions and took place in resource-rich settings. These two social milestones included fundamental changes in economic strategies, social interaction, and ideology. Only by understanding the interplay between preexisting social institutions and human agency within communities prior to and during these periods of major social change will we be able to understand how and why food production began.	
10.2307/41053110	10.2307/41053110	A Review of Archaeology in Mainland Southeast Asia	C. F. W. Higham	Journal of Archaeological Research	4	1	1996-03-01T00:00:00Z	pp. 3-49	Springer	fla		This article outlines recent advances in establishing and understanding the prehistoric sequence in mainland Southeast Asia. Research has been unevenly distributed, varying from virtually none in Cambodia to a marked intensity in Hong Kong and the adjoining mainland. A new pattern is becoming apparent, due in no small part to the new findings in southern China. It is argued that despite its long history of occupation, beginning with Homo erectus almost a million years ago, tropical Southeast Asia was occupied by scattered inland groups and larger, possibly sedentary coastal foragers until exposed to intrusive agricultural societies during the third millennium BC. These communities, which originated ultimately in the Yangzi Valley, brought with them rice cultivation and were responsible for the wide distribution of Austroasiatic languages. The three divisions of this language superfamily are now distributed from eastern India to southern China, Following a relatively brief Neolithic period, small and autonomous communities, particularly in Lingnan and Bac Bo (Guangdong and Guangxi provinces of China and the area of the Red River Delta), were exposed to exchange contact with the Shang state of the Chinese Central Plains, and this brought exotic jades and bronzes. Within this context, a local bronze industry was established between 1500 and 1000 BC over much of Southeast Asia, but without any obvious social developments until the middle of the first millennium BC, when several major changes occurred. These incorporated iron smelting and forging and exposure in the southern parts of the region to Indian mercantile contact and along the northern margins to the expanding Chinese empire. Adaptations varied regionally, from the establishment of warrior chiefdoms to counter the Chinese to the construction of water control systems in the arid heart of Southeast Asia to alleviate environmental unpredictability. It is within these regional changes that we can identify trends toward the establishment of states, some of which persisted in an unbroken lineage to the present.	
10.2307/41053079	10.2307/41053079	News from the Northern American Southwest: Prehistory on the Edge of Chaos	Timothy A. Kohler	Journal of Archaeological Research	1	4	1993-12-01T00:00:00Z	pp. 267-321	Springer	fla		Recent developments in the study of the prehistory of the northern Mogollon and Anasazi areas of the North American Southwest are reviewed, with emphasis on the pre-AD. 1150 period, in an attempt to identify key empirical results and incipient interpretive directions.	
10.2307/41053100	10.2307/41053100	The Last 200,000 Years (or Thereabouts) in Eastern Africa: Recent Archaeological Research	Peter Robertshaw	Journal of Archaeological Research	3	1	1995-03-01T00:00:00Z	pp. 55-86	Springer	fla		Research in Eastern Africa is hampered by a variety of logistical constraints common in underdeveloped and politically fragmented regions. The later Middle and early Upper Pleistocene are attracting attention in the debate over the origins of anatomically modern humans. There has also been considerable field research and discussion of the development of specialized pastoralism. Archaeology, history and several other disciplines have combined to study the development of social complexity in the Great Lakes region and along the Swahili coast, the Aksumite civilization and African agricultural systems. Finally, the rise of a cadre of indigenous archaeologists is fostering debate over what constitutes explanation and over the relevance of the discipline within Africa.	
10.2307/41053163	10.2307/41053163	Front Matter		Journal of Archaeological Research	7	1	1999-03-01T00:00:00Z		Springer	mis			
10.2307/41053149	10.2307/41053149	Recent Research in West Mexican Archaeology	Helen Perlstein Pollard	Journal of Archaeological Research	5	4	1997-12-01T00:00:00Z	pp. 345-384	Springer	fla		The last decade has seen the greatest increase in archaeological research in western Mexico since the 1940s. Unlike previously heralded renewals, this one is accompanied by widespread skepticism of the dominant culture-historical paradigm linking west Mexico to the rest of Mesoamerica, to the American Southwest, and to South America. Current research offers substantive new data and interpretations bearing on issues such as the definition of Mesoamerica, the role of South American long distance contacts, the human ecology of highland lakes, the role of river systems in Mesoamerican prehistory, and the nature/role of prehispanic elite exchanges.	
10.2307/41053099	10.2307/41053099	Where Is Lowland Maya Archaeology Headed?	Joyce Marcus	Journal of Archaeological Research	3	1	1995-03-01T00:00:00Z	pp. 3-53	Springer	fla		This article isolates three important trends in Lowland Maya archaeology during the last decade: (1) increased use of the conjunctive approach, with renewed appreciation of context and provenience; (2) waning use of the label "unique" to describe the Maya; and (3) an effort to use the Lowland Maya as a case study in social evolution.	
10.2307/41053082	10.2307/41053082	Introduction to Volume 2	Gary M. Feinman, T. Douglas Price	Journal of Archaeological Research	2	1	1994-03-01T00:00:00Z	pp. 1-2	Springer	mis			
10.2307/41053179	10.2307/41053179	Front Matter		Journal of Archaeological Research	10	1	2002-03-01T00:00:00Z		Springer	mis			
10.2307/41053171	10.2307/41053171	Front Matter		Journal of Archaeological Research	9	1	2001-03-01T00:00:00Z		Springer	mis			
10.2307/42635575	10.2307/42635575	Recent Advances in Mixtee Archaeology	Verónica Pérez Rodríguez	Journal of Archaeological Research	21	1	2013-03-01T00:00:00Z	pp. 75-121		fla		Current research in the Mixteca region of Mexico has revealed that Formative communities were as populous as in other Mesoamerican regions. Evidence of emerging social complexity is associated with the use of and access to luxury items of foreign style and/or manufacture. Research efforts draw from indigenous models to interpret data and investigate urbanism. Regional and environmental approaches, household studies, and ethnohistory are integrated to study ethnic diversity and the complex history of human occupation. The politics associated with cultural resource management and community archaeology in the Mixteca also are discussed.	
10.2307/41053066	10.2307/41053066	Introductory Statement	Gary M. Feinman, T. Douglas Price	Journal of Archaeological Research	1	1	1993-03-01T00:00:00Z	pp. 1-4	Springer	mis			
10.2307/23018397	10.2307/23018397	Landscape and Environment: Insights from the Prehispanic Central Andes	Daniel A. Contreras	Journal of Archaeological Research	18	3	2010-09-01T00:00:00Z	pp. 241-288		fla		Attention to human-environment relationships in the central Andes has a long history. Although the area is not a neat microcosm of the globe, wholly representative of worldwide trends in the archaeology of human—environment interactions, it has been the site of both seminal investigations in archaeology and a substantial body of recent work that investigates themes of broad archaeological relevance. Specifically, central Andean environments have been variously conceived as structuring, modified, and sacred. These approaches to some extent reflect broad trends in archaeology, while also suggesting directions in which the archaeology of human—environment interactions is moving and highlighting archaeology's relevance to discussions of contemporary human—environment interactions. This article characterizes concepts that are key for describing central Andean environments and considers the ways in which the particular ecology of the central Andes has informed archaeological research in the region. The example of the central Andes highlights the importance of understanding environments as dynamic, considering both geomorphic and anthropogenic contributors to that dynamism, and examining both ecological ("environment") and ideological ("landscape") implications of archaeological landscapes.	
10.2307/41053202	10.2307/41053202	New Directions in Classic Maya Household Archaeology	Cynthia Robin	Journal of Archaeological Research	11	4	2003-12-01T00:00:00Z	pp. 307-356	Springer	fla		Over the past two decades, household studies have coalesced into a recognized subfield within archaeology. Despite this relatively short history, household archaeologists are now taking a leading role in epistemological shifts that are placing people and their practices and differences at the center of archaeological interpretations of the past, rather than subsuming these into the "noise" of passive and depersonalized depictions of ancient social systems. As Maya archaeologists have played a critical role in the development of household archaeology, examining recent trends in Maya household research provides a perspective on the directions of both Maya studies and household archaeology more generally. This article explores three interrelated trends: (1) understanding ordinary people; (2) understanding social diversity among households; (3) understanding households in articulation with the broder social universe. Through a discussion of these three trends, this review uses Classic Maya household archaeology as a case study to illustrate how household research has led to the development of theoretically rich and empirically substantive understandings of an ancient society, which repeople the past and foreground the active roles of and structural constraints on ancient people.	
10.2307/42635574	10.2307/42635574	The Chinese Upper Paleolithic: Geography, Chronology, and Techno-typology	Tongli Qu, Ofer Bar-Yosef, Youping Wang, Xiaohong Wu	Journal of Archaeological Research	21	1	2013-03-01T00:00:00Z	pp. 1-73		fla		This article reviews the archaeology and chronology of the Chinese Upper Paleolithic and the human fossils attributed to this period. The onset of the Upper Paleolithic in China dates to ca. 35,000-30,000 years ago and is marked by the appearance of a few body decorations and well-shaped bone tools that were added to stone tool assemblages, including core-and-flake tools in North China and cobble tools in South China. The proliferation of blade assemblages in northwest China is interpreted as the cultural impact or the physical presence of bearers of blade industries from western Eurasia. The ensuing appearance of microblade assemblages in North China by 23,000-22,000 years ago reflects the use of local siliceous crystalline nodules by a population that recognized the advantages of this raw material. At that time in South China, prehistoric artisans continued to shape their stone objects from the available flat river cobbles. During the later part of the Chinese Upper Paleolithic (ca. 21,000-10,000 BP), foragers also made bone tools, antler objects, pottery, and shell tools, which laid the technological foundations for the early Neolithic period. One difficulty in this research is that human fossils are rare. Few are well dated and morphological, cultural, and biological interpretations are hotly debated. Our review attempts to facilitate the understanding of a poorly known period in Chinese archaeology and its place in human cultural evolution.	
10.2307/41053116	10.2307/41053116	Archaeology and Roman Society: Integrating Textual and Archaeological Data	Glenn R. Storey	Journal of Archaeological Research	7	3	1999-09-01T00:00:00Z	pp. 203-248	Springer	fla		Although the collection of new data and the development of an enduring interest in theoretical concerns characterize much current work in Roman archaeology, the field continues to experience tension between traditional classical archaeological approaches and practices borrowed from other branches of archaeology. This tension is most clearly visible with the integration of textual and archaeological data. How the dynamic between these provenances plays out in Roman archaeology can be seen in theoretical and methodological applications, the use of field survey, and the adoption of an Annaliste perspective by some Roman archaeologists. Text and archaeology are crucial contributors to the the study of early Rome and its origins, investigations in the capital for all periods, the study of Pompeii, and attempts to illuminate the chief characteristics of the Roman economy. Many advances in Roman archaeology have occurred largely as a result of a conscious attempt on the part of Roman archaeologists to properly contextualize textual data in light of the archaeological data, thereby providing a better balance between the two sets of information and liberating archaeology from being the "handmaid of history."	
10.2307/41053147	10.2307/41053147	Front Matter		Journal of Archaeological Research	5	4	1997-12-01T00:00:00Z		Springer	mis			
10.2307/41053067	10.2307/41053067	New World Complex Societies: Recent Economic, Social, and Political Studies	Michael E. Smith	Journal of Archaeological Research	1	1	1993-03-01T00:00:00Z	pp. 5-41	Springer	fla		Archaeologists working on the complex societies of Latin America have made impressive empirical advances on a number of fronts during the past five years. This article focuses on economic, social and political issues, using the following topics for organization: intensive agriculture, demography, exchange, households, urbanism, chiefdoms, and state-level polities. For each topic, I review recent archaeological research and summarize pertinent theoretical issues. Unfortunately, the heavy accumulation of new archaeological results is not matched by the conceptual advances that are needed to explore the analytical significance of the data.	
10.2307/41053249	10.2307/41053249	Siberia at the Last Glacial Maximum: Environment and Archaeology	Yaroslav V. Kuzmin	Journal of Archaeological Research	16	2	2008-06-01T00:00:00Z	pp. 163-221, 223	Springer	fla		This article focuses on the presence of humans in Siberia and the Russian Far East at the coldest time of the Late Pleistocene, called the Last Glacial Maximum (LGM) and dated to c. 20,000-18,000 rcbp. Reconstruction of the LGM environment of Siberia, based on the latest models and compilations, provides a background for human existence in this region. Most of Siberia and the Russian Far East at c. 20,000-18,000 rcbp was covered by tundra and cool steppe, with some forest formations in the river valleys. Climate was much colder and drier than it is today. Eighteen Upper Paleolithic sites in Siberia are radiocarbon dated strictly to the LGM, and at least six of them, located in southern parts of western and eastern Siberia and the Russian Far East, have solid evidence of occupation during that time span. It seems clear that southern Siberia was populated by humans even at the height of the LGM, and that there was no dramatic decline or complete disappearance of humans in Siberia at that time. The degree of human adaptation to periglacial landscapes in the mid-Upper Paleolithic of northern Eurasia was quite high; humans coped with the cold and dry environmental conditions using microblade technology, artificial shelters, tailored clothes, and megafaunal bones as fuel.	
10.2307/41053239	10.2307/41053239	Advances in Polynesian Prehistory: A Review and Assessment of the Past Decade (1993-2004)	Patrick V. Kirch, Jennifer G. Kahn	Journal of Archaeological Research	15	3	2007-09-01T00:00:00Z	pp. 191-238	Springer	fla		The pace of archaeological research in Polynesia has intensified in recent years, resulting in more than 500 new literature citations over the past decade. Fieldwork has continued in such previously well-studied archipelagoes as Tonga and Samoa in Western Polynesia, and Hawai'i and New Zealand in Eastern Polynesia, and has expanded into previously neglected islands including Niue, the Equatorial Islands, the Austral Islands, and Mangareva. The emergence of Ancestral Polynesian culture out of its Eastern Lapita predecessor is increasingly well understood, and the chronology of Polynesian dispersal and expansion into Eastern Polynesia has engaged several researchers. Aside from these fundamental issues of origins and chronology, major research themes over the past decade include (1) defining the nature, extent, and timing of long-distance interaction spheres, particularly in Eastern Polynesia; (2) the impacts of human colonization and settlement on island ecosystems; (3) variation in Polynesian economic systems and their transformations over time; and (4) sociopolitical change, especially as viewed through the lens of household or microscale archaeology. Also noteworthy is the rapidly evolving nature of interactions between archaeologists and native communities, a critical aspect of archaeological practice in the region.	
10.2307/41680529	10.2307/41680529	Recent Landscape Archaeology in South America	John H. Walker	Journal of Archaeological Research	20	4	2012-12-01T00:00:00Z	pp. 309-355	Springer	fla		South American archaeologists use the term landscape to analyze a broad range of relationships. Examples include intensive agriculture and political power, myth and place, and climate change and cultural development. Landscape archaeology is necessarily spatial analysis, but scholars work at different scales and use different methods. This essay highlights the influence of geography, anthropology, and new methodologies on four definitions of landscape: ecological habitat, built environment, a stage for performance, and integrating subsistence and settlement. In a number of cases, landscape archaeologists, stakeholders, and researchers from different traditions work at different scales to meaningfully share information, clarify their differences, and compare their analyses and conclusions.	
10.2307/23018389	10.2307/23018389	Recent Research in Western Mexican Archaeology	Christopher S. Beekman	Journal of Archaeological Research	18	1	2010-03-01T00:00:00Z	pp. 41-109		fla		Western Mexico is vast and geographically diverse and has received far less attention compared to other areas of Mesoamerica. Research over the past decade allows the definition of four major subregions characterized by cultural factors and distinct historical trajectories. A large proportion of the research in western Mexico is still culture-historical in nature, oriented toward establishing chronologies and relationships between regions. But along with a number of recent efforts toward synthesis and consolidation, current theoretical research contributes to the study of mortuary patterns and social organization, alternative forms of social complexity, agricultural intensification, empire formation, state involvement in the economy, human-land relationships, and the interlocking relationship between migration and sociopolitical reorganization.	
10.2307/41053190	10.2307/41053190	Recent Issues in the Archaeology of the Mimbres Region of the North American Southwest	Michelle Hegmon	Journal of Archaeological Research	10	4	2002-12-01T00:00:00Z	pp. 307-357	Springer	fla		Archaeological research in the Mimbres region (southwestern New Mexico) has focused on the post-A. D. 500 ceramic/agricultural occupations, especially the Mimbres Classic period (1000-1130). This work has advanced general anthropological issues regarding mobility, land use and human impact, and the concept of "abandonment." Deeper understandings of some of these issues require more detailed demographic estimates, which in turn are dependent on methodological advances, particularly studies of site use life. Research on the production and distribution of Mimbres pottery—famous for its naturalistic black-on-white designs—is advancing rapidly. Although the designs have been well illustrated and much discussed, more systematic anthropological research on Mimbres design style is badly needed. Various aspects of Mimbres social and ideational realms (e.g., household and community organization, social hierarchy, the symbolism of the pottery designs) have received some attention but await new perspectives derived from current social theory.	
10.2307/41053253	10.2307/41053253	Front Matter		Journal of Archaeological Research	16	4	2008-12-01T00:00:00Z		Springer	mis			
10.2307/23018405	10.2307/23018405	World-Systems Analysis and Archaeology: Continuing the Dialogue	Thomas D. Hall, P. Nick Kardulias, Christopher Chase-Dunn	Journal of Archaeological Research	19	3	2011-09-01T00:00:00Z	pp. 233-279	Springer	fla		Many archaeologists have used world-systems analysis in precapitalist settings. Some have criticized it; others have dismissed it out of hand. Critiques include that it was developed for the "modern" world, that it is overly economistic, that it neglects individual actors, and that it inappropriately uses modern analyses in ancient settings. Although there is some validity to these charges when applied to Wallerstein's original formulation, most are misdirected. The critiques are rooted in inattention to the last three decades of work on world-systems, especially modifications made with the explicit intention to make world-systems analysis useful in precapitalist settings. Newer comparative versions of world-systems analysis were initially developed to better understand the evolution of world-systems that gave rise to the modern world-system. These new advances are useful for the study of interregional interactions and long-term development. Archaeologists are well placed to contribute to the further development of world-systems analysis; they can shed light on ancient world-systemic processes and the origins of the modern world-system, provide empirical backing for hypotheses, and raise new theoretical and empirical questions.	
10.2307/41053165	10.2307/41053165	Recent Research in Paleoethnobotany	Christine A. Hastorf	Journal of Archaeological Research	7	1	1999-03-01T00:00:00Z	pp. 55-103	Springer	fla		This article discusses paleoethnobotanical research and results presented in the recent literature. Although archaeobotany is a fairly recent addition to the study of the past, it now encompasses a diverse range of techniques, analyses, and new results. Issues that are prominent in this archaeological subdiscipline include the origins of agriculture, resource use, environmental reconstruction, anthropogenic environmental change, political-economic change, plant cultivation and crop production, plant processing, consumption (diet), and site deposition. Some of the plant identification methods for macrobotanical remains include morphology using light microscopes, histology with the scanning electron microscope, and statistics. The study of microbotanical remains has expanded greatly and now includes pollen, phytolith, chemical, and molecular analyses.	
10.2307/42635590	10.2307/42635590	Exploring Adaptive Variation among Hunter-gatherers with Binford's Frames of Reference	Amber L. Johnson	Journal of Archaeological Research	22	1	2014-03-01T00:00:00Z	pp. 1-42		fla		The most significant change in hunter-gatherer studies has been the shift from expecting hunter-gatherers to have similar properties wherever they are found to recognizing that hunter-gatherer adaptations should vary along many different dimensions. Although archaeologists approach research with different goals, there is remarkable convergence in our knowledge about hunter-gatherers past and present. The ethnographic record of recent hunter-gatherers reveals enormous variation along several dimensions. The specific combinations of characteristics displayed among hunter-gatherers are not infinitely variable but cluster as distinctive "system states" (following Binford, Constructing frames of reference: an analytical method for archaeological theory building using ethnographic and environmental data sets, 2001) that pattern with both environmental and demographic variables at a global scale. Frames of reference based on these generalizations have implications for what archaeologists should expect for hunter-gatherers in different environmental settings, and also for how they should change over time if regional population density generally increases. Recognizing that patterns of variation at the regional scale are different from those at the global scale, I propose a hierarchical strategy for developing expectations for variation among prehistoric hunter-gatherers that can both situate the research locale with respect to global patterns of variation and acknowledge important dimensions of variation in habitat structure that are likely to condition regional variation in hunter-gatherer mobility, subsistence, and social organization.	
10.2307/41053070	10.2307/41053070	Front Matter		Journal of Archaeological Research	1	2	1993-06-01T00:00:00Z		Springer	mis			
